date,opponent,is_home,is_away,is_neutral,won,team_score,opp_score,point_diff,team_fg,team_fga,team_fg%,team_3p,team_3pa,team_3p%,team_2p,team_2pa,team_2p%,team_efg%,team_ft,team_fta,team_ft%,team_orb,team_drb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_2p,opp_2pa,opp_2p%,opp_efg%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,school_slug,season
2025-02-08,TCU,1,0,0,1,82,52,30,31,52,0.596,9,19,0.474,22,33,0.667,0.683,11,14,0.786,6,23,29,17,8,2,14,14,19,53,0.358,2,14,0.143,17,39,0.436,0.377,12,20,0.6,11,16,27,9,10,0,15,15,iowa-state,2025
2025-02-11,UCF,1,0,0,1,77,65,12,27,59,0.458,7,28,0.25,20,31,0.645,0.517,16,21,0.762,10,29,39,17,5,3,9,14,27,65,0.415,6,26,0.231,21,39,0.538,0.462,5,10,0.5,9,20,29,14,7,2,8,13,iowa-state,2025
2025-02-15,Cincinnati,1,0,0,1,81,70,11,24,49,0.49,7,18,0.389,17,31,0.548,0.561,26,30,0.867,12,24,36,11,10,1,18,13,25,54,0.463,11,27,0.407,14,27,0.519,0.565,9,11,0.818,4,12,16,9,7,4,14,23,iowa-state,2025
2025-02-18,Colorado,1,0,0,1,79,65,14,24,47,0.511,10,21,0.476,14,26,0.538,0.617,21,31,0.677,5,24,29,19,9,2,14,20,24,53,0.453,4,17,0.235,20,36,0.556,0.491,13,22,0.591,8,20,28,10,6,3,13,25,iowa-state,2025
2025-02-22,Houston,1,0,0,0,59,68,-9,18,46,0.391,8,20,0.4,10,26,0.385,0.478,15,17,0.882,4,15,19,13,10,4,12,14,25,47,0.532,10,17,0.588,15,30,0.5,0.638,8,10,0.8,6,22,28,6,7,4,14,15,iowa-state,2025
2025-02-25,Oklahoma State,1,0,0,0,68,74,-6,24,58,0.414,8,27,0.296,16,31,0.516,0.483,12,20,0.6,11,25,36,15,5,4,18,19,25,59,0.424,6,23,0.261,19,36,0.528,0.475,18,22,0.818,9,22,31,18,13,2,11,20,iowa-state,2025
2025-03-01,Arizona,1,0,0,1,84,67,17,27,54,0.5,11,21,0.524,16,33,0.485,0.602,19,23,0.826,6,19,25,17,8,2,15,22,19,57,0.333,4,22,0.182,15,35,0.429,0.368,25,27,0.926,10,19,29,9,12,2,14,20,iowa-state,2025
2025-03-04,Brigham Young,1,0,0,0,85,88,-3,25,64,0.391,8,28,0.286,17,36,0.472,0.453,27,31,0.871,5,17,22,12,18,6,10,22,26,59,0.441,11,32,0.344,15,27,0.556,0.534,25,31,0.806,14,31,45,14,8,5,27,23,iowa-state,2025
2025-03-08,Kansas State,1,0,0,1,73,57,16,24,51,0.471,7,20,0.35,17,31,0.548,0.539,18,22,0.818,2,25,27,17,11,2,11,23,20,53,0.377,2,21,0.095,18,32,0.563,0.396,15,22,0.682,9,20,29,15,7,4,17,21,iowa-state,2025
2025-03-12,Cincinnati,1,0,0,1,76,56,20,29,54,0.537,10,21,0.476,19,33,0.576,0.63,8,10,0.8,9,30,39,14,5,1,16,12,19,58,0.328,9,30,0.3,10,28,0.357,0.405,9,11,0.818,10,13,23,12,10,4,11,16,iowa-state,2025
2025-03-13,Brigham Young,1,0,0,0,92,96,-4,37,66,0.561,13,30,0.433,24,36,0.667,0.659,5,7,0.714,8,18,26,16,7,5,9,22,30,58,0.517,18,36,0.5,12,22,0.545,0.672,18,21,0.857,9,21,30,24,8,4,10,12,iowa-state,2025
2025-03-21,Lipscomb,1,0,0,1,82,55,27,35,60,0.583,7,19,0.368,28,41,0.683,0.642,5,8,0.625,7,27,34,19,11,5,11,16,19,51,0.373,8,28,0.286,11,23,0.478,0.451,9,12,0.75,4,16,20,16,6,0,15,10,iowa-state,2025
2025-03-23,Ole Miss,1,0,0,0,78,91,-13,27,56,0.482,8,22,0.364,19,34,0.559,0.554,16,24,0.667,13,19,32,9,5,0,15,19,32,55,0.582,11,19,0.579,21,36,0.583,0.682,16,21,0.762,5,23,28,15,11,1,8,21,iowa-state,2025
