School,slug
Montana,montana
Montana State,montana-state
Morehead State,morehead-state
Morgan State,morgan-state
Mount St. Mary's,mount-st-marys
Murray State,murray-state
Navy,navy
NC State,nc-state
Nebraska,nebraska
Nevada,nevada
Nevada-Las Vegas,nevada-las-vegas
New Hampshire,new-hampshire
New Haven,new-haven
New Mexico,new-mexico
New Mexico State,new-mexico-state
New Orleans,new-orleans
Niagara,niagara
Nicholls State,nicholls-state
NJIT,njit
Norfolk State,norfolk-state
North Alabama,north-alabama
North Carolina,north-carolina
North Carolina A&T,north-carolina-at
North Carolina Central,north-carolina-central
North Dakota,north-dakota
North Dakota State,north-dakota-state
North Florida,north-florida
North Texas,north-texas
Northeastern,northeastern
Northern Arizona,northern-arizona
Northern Colorado,northern-colorado
Northern Illinois,northern-illinois
Northern Iowa,northern-iowa
Northern Kentucky,northern-kentucky
Northwestern,northwestern
Northwestern State,northwestern-state
Notre Dame,notre-dame
Oakland,oakland
Ohio,ohio
Ohio State,ohio-state
Oklahoma,oklahoma
Oklahoma State,oklahoma-state
Old Dominion,old-dominion
Omaha,omaha
Oral Roberts,oral-roberts
Oregon,oregon
Oregon State,oregon-state
Pacific,pacific
Penn State,penn-state
Pennsylvania,pennsylvania
Pepperdine,pepperdine
Pittsburgh,pittsburgh
Portland,portland
Portland State,portland-state
Prairie View,prairie-view
Presbyterian,presbyterian
Princeton,princeton
Providence,providence
Purdue,purdue
Purdue Fort Wayne,purdue-fort-wayne
Queens (NC),queens-nc
Quinnipiac,quinnipiac
Radford,radford
Rhode Island,rhode-island
Rice,rice
Richmond,richmond
Rider,rider
Robert Morris,robert-morris
Rutgers,rutgers
Sacramento State,sacramento-state
Sacred Heart,sacred-heart
Saint Francis (PA),saint-francis-pa
Saint Joseph's,saint-josephs
Saint Louis,saint-louis
Saint Mary's (CA),saint-marys-ca
Saint Peter's,saint-peters
Sam Houston,sam-houston
Samford,samford
San Diego,san-diego
San Diego State,san-diego-state
San Francisco,san-francisco
San Jose State,san-jose-state
Santa Clara,santa-clara
Seattle,seattle
Seton Hall,seton-hall
Siena,siena
South Alabama,south-alabama
South Carolina,south-carolina
South Carolina State,south-carolina-state
South Carolina Upstate,south-carolina-upstate
South Dakota,south-dakota
South Dakota State,south-dakota-state
South Florida,south-florida
Southeast Missouri State,southeast-missouri-state
Southeastern Louisiana,southeastern-louisiana
Southern,southern
Southern California,southern-california
Southern Illinois,southern-illinois
Southern Illinois-Edwardsville,southern-illinois-edwardsville
Southern Indiana,southern-indiana
Southern Methodist,southern-methodist
Southern Mississippi,southern-mississippi
Southern Utah,southern-utah
St. Bonaventure,st-bonaventure
St. John's (NY),st-johns-ny
St. Thomas,st-thomas
Stanford,stanford
Stephen F. Austin,stephen-f-austin
Stetson,stetson
Stonehill,stonehill
Stony Brook,stony-brook
Syracuse,syracuse
Tarleton State,tarleton-state
TCU,tcu
Temple,temple
Tennessee,tennessee
Tennessee State,tennessee-state
Tennessee Tech,tennessee-tech
Tennessee-Martin,tennessee-martin
Texas,texas
Texas A&M,texas-am
Texas A&M-Corpus Christi,texas-am-corpus-christi
Texas Southern,texas-southern
Texas State,texas-state
Texas Tech,texas-tech
Texas-Rio Grande Valley,texas-rio-grande-valley
The Citadel,the-citadel
Toledo,toledo
Towson,towson
Troy,troy
Tulane,tulane
Tulsa,tulsa
UAB,uab
UC Davis,uc-davis
UC Irvine,uc-irvine
UC Riverside,uc-riverside
UC San Diego,uc-san-diego
UC Santa Barbara,uc-santa-barbara
UCF,ucf
UCLA,ucla
UNC Asheville,unc-asheville
UNC Greensboro,unc-greensboro
UNC Wilmington,unc-wilmington
UT Arlington,ut-arlington
Utah,utah
Utah State,utah-state
Utah Tech,utah-tech
Utah Valley,utah-valley
UTEP,utep
UTSA,utsa
Valparaiso,valparaiso
Vanderbilt,vanderbilt
Vermont,vermont
Villanova,villanova
Virginia,virginia
Virginia Commonwealth,virginia-commonwealth
Virginia Military Institute,virginia-military-institute
Virginia Tech,virginia-tech
Wagner,wagner
Wake Forest,wake-forest
Washington,washington
Washington State,washington-state
Weber State,weber-state
West Georgia,west-georgia
West Virginia,west-virginia
Western Carolina,western-carolina
Western Illinois,western-illinois
Western Kentucky,western-kentucky
Western Michigan,western-michigan
Wichita State,wichita-state
William & Mary,william-mary
Winthrop,winthrop
Wisconsin,wisconsin
Wofford,wofford
Wright State,wright-state
Wyoming,wyoming
Xavier,xavier
Yale,yale
Youngstown State,youngstown-state
